"feed_tables","DM %","CP %","CF %","CFat %","Ash %","Insol. ash %","NDF %","ADF %","Lignin %","WICW %","Starch %","Starch (enz.) %","Sugars %","Lactose %","GE kcal/kg","GE MJ/kg"
"Olive_oil_cake,_with_pits,_oil_>_5%",100,8.9,37.5,11,6.8,0.3,68,52.8,26.7,67.2,0,0,4.3,NA,4890,20.5
"Olive_pulp,_oil_<_10%",100,12.3,21.4,4.2,8,0.3,55,42.3,24.4,54.1,0,0,4.3,NA,4380,18.3
"Olive_pulp,_oil_>_10%",100,11.6,21.4,34.5,5.8,0.3,55,42.3,24.4,54.2,0,0,4.3,NA,6060,25.4
"Palm_kernel_meal,_oil_<_5%",100,18.3,20.7,3.2,4.8,0.4,72.9,44,14.1,64.5,0.6,0.9,2.2,NA,4510,18.9
"Palm_kernel_meal,_oil_5-20%",100,17,20.7,8.3,4.8,0.9,72.9,44,14.1,64.5,1.1,0.9,2.2,NA,4760,19.9
"Palm_oil",100,0,0,99.9,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Pea",100,23.3,6.4,1.4,3.5,0.07,14.6,7.3,0.5,15,51.3,47.8,4.8,NA,4370,18.3
"Pea_protein_concentrate",100,83.7,0.3,4.7,4.3,0.3,1.3,0.3,0.2,11.9,0.4,0.04,2.1,NA,5430,22.7
"Pea,_extruded",100,23.3,6.4,1.4,3.5,0.07,14.6,7.3,0.5,15,51.3,43.2,4.8,NA,4370,18.3
"Pentacalcium_orthoperiodate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Phosphate,_defluorinated",100,0,0,0,99.9,1.7,0,0,0,0,0,0,0,NA,0,0
"Potassium_iodide",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Potato_protein_concentrate",100,84.1,0.9,0.7,2.6,0.2,3.1,0.4,0.2,0,0.04,0.1,0.5,NA,5310,22.2
"Potato_pulp,_dried",100,5.4,18.6,0.4,3.5,0.09,28.4,20.9,5.9,27.5,44.3,33.9,1.8,NA,4210,17.6
